Sentence,Category,Label,Sentence_Length
surpris pip instal sklearn would someth without give error learn comment,aspect evaluation,2,11
bad sklearn instal,information giving,1,3
still bit confus pip list show sklearn,aspect evaluation,2,7
mayb could make sklearn alia,solution proposal,4,5
went across follow packag,information giving,1,4
check mechan thought,information giving,1,3
quick look code may well use generat sklearn pypi packag inde,information giving,1,11
inde right,others,7,2
forgot pip uninstal sklearn expect well expect remov,information giving,1,8
mayb would wise phase sklearn packag,solution proposal,4,6
earlier comment still valid,information giving,1,4
pypi download stat via pypinfo last month suggest quarter instal sklearn,information giving,1,11
happi transfer ownership sklearn pypi someon involv project,others,7,8
account,information seeking,3,1
could also transfer,information giving,1,3
way broken,information giving,1,2
ownership transfer,others,7,2
rememb great power come abil mess lot packag,information giving,1,8
futur refer could find version version control made copi current content,information giving,1,11
issu could caus signific confus new version releas instal use alia pip instal upgrad sklearn fail silent requir version necessarili recent version,problem discovery,5,22
suppos would possibl continu releas new version sklearn requir recent version would absurd,aspect evaluation,2,13
anoth possibl without break peopl code could detect whether sklearn packag instal,solution proposal,4,12
look standard python way rais warn import time case,solution proposal,4,9
may add small overhead import though,information giving,1,6
issu came member slack group,problem discovery,5,5
brief context found issu fix problem need upgrad one develop environ,information giving,1,11
confus behavior get variat pip instal upgrad mysteri option avail sklearn find packag descript,aspect evaluation,2,14
guess mayb releas could opportun cleanup break chang,information seeking,3,8
would good fix,others,7,3
think error alway need way popular longer maintain librari sklearn list depend much one,aspect evaluation,2,14
forgot name voluntari intermitt failur,information giving,1,5
yes thank,others,7,2
reason brain suggest hashbrown tri find term,information giving,1,7
imo one reason work github detect still use recommend way send email time time nudg,information giving,1,15
brownout strategi,information giving,1,2
setup wiki page issu document plan brownout schedul announc twitter mail list,solution proposal,4,12
discuss next onlin dev meet,others,7,5
sklearn download day,information giving,1,3
thank lot,others,7,2
nice inde,others,7,2
curios case need futur find sklearn depend pypi dowload,information seeking,3,9
knock script find sdist wheel packag sklearn depend filter top,information giving,1,10
except download day might close sourc could find repo,information giving,1,9
could worth email,others,7,3
look comment big hope sklearn download come jsonpickl actual sklearn test see quit unlik jsonpickl main culprit,information giving,1,17
refer packag nltk perform fail help error strategi ntlk,information giving,1,9
issu open discuss,others,7,3
track evolut idea previous mention relat idea comment,information giving,1,8
would fix clean altern,information giving,1,4
sorri obtus retic depend better integr panda come,information seeking,3,8
hard find appli exampl sklearn communiti includ panda day margin depend numpi scipi dateutil pytz,aspect evaluation,2,15
seem reinvent much mask wheel anyway support use case,information giving,1,9
propos along dict array seem like good solut,solution proposal,4,8
iirc said consid dataset object learn,information giving,1,6
inde case probabl part reflexion,information giving,1,5
,others,7,0
mean everybodi use need chang code,information giving,1,6
better everybodi ever use need chang code,solution proposal,4,7
advantag kwarg,information seeking,3,2
elabor,information seeking,3,1
dict name array valu,information giving,1,4
variabl could pass direct kwarg similar result dict without chang current sampl weight handl,information giving,1,14
would add kwarg fit method ignor use,information seeking,3,7
perhap want know way realli wors solut,information seeking,3,7
think most littl stricter interfac,information giving,1,5
also could argument fit length thought tri avoid,problem discovery,5,8
think issu mention caus upgrad sklearn upgrad panda,information giving,1,8
thought worth rais devil advoc thank initi respons,others,7,8
somewhat relat question transform also output modifi,information seeking,3,7
must right,information seeking,3,2
perhap least way introspect sampl prop estim method know user make assert upgrad,feature request,null,13
frameworkish,information seeking,3,1
fix also see wiki,solution proposal,4,4
summar current state discuss think someth like would nice solut,solution proposal,4,10
think mention fit docstr estim docstr fine,information seeking,3,7
think rais good btw,aspect evaluation,2,4
rais,information giving,1,1
could see rais converg issu etc,information giving,1,6
sound reason,others,7,2
think general featur impact mani part librari,aspect evaluation,2,7
make separ pull request deal sampl properti,information seeking,3,7
disadvantag global state,information seeking,3,3
updat abl use perform rfecv,information seeking,3,5
worri complet understand,others,7,3
thank hard work sklearn librari,others,7,5
love simpl univers packag,aspect evaluation,2,4
solut interest,solution proposal,4,2
read referenc prs issu comment lot went thread briefli,information giving,1,9
yet look contribut yet might want check latest propos,information giving,1,9
contribut would love start,information giving,1,4
thank refer current discuss comment,others,7,5
well expect abl much cant hurt tri,others,7,7
also interest work iterativeimput comment,others,7,5
probabl easier,others,7,2
recent made liblinear report converg failur,information giving,1,6
report lot place,information giving,1,3
expect user start see everywher,information giving,1,5
chang someth,information seeking,3,2
weird use linearsvc result failur,aspect evaluation,2,5
also pretti weird svc linearsvc,information giving,1,5
reason,information seeking,3,1
good question,others,7,2
look liblinear code appear expos differ stop criteria ad paramet seem,information giving,1,11
rememb,others,7,1
strong opinion,others,7,2
mani warn mean user look warn,information giving,1,6
could also increas tol,information seeking,3,4
ask warn logist regress well ignor,information seeking,3,6
issu also happen logisticregress class,information seeking,3,5
increas tol mean mani user wait longer,information giving,1,7
increas tol mean larger tol,information giving,1,5
anyth peopl wait shorter,others,7,4
work,others,7,1
inde logisticregress also potenti affect,information giving,1,5
discuss bit skeptic regard bump tol lot differ default around,information giving,1,10
liblinear tol right,information giving,1,3
would make consist,information giving,1,3
probabl run benchmark though,information seeking,3,4
inde mayb complex first thought,information giving,1,5
tol default liblinear call,information seeking,3,4
agre regard benchmark,information giving,1,3
yeah would good think,information giving,1,4
seem one last releas blocker,information seeking,3,5
btw chang prompt basic chang verbos,information giving,1,6
btw use default solver tol,information giving,1,5
liblinear default,information giving,1,2
jnothman most wrapper surpris think,problem discovery,5,5
liblinear command line actual various toler default depend use,information giving,1,9
think warn scale anywher,information seeking,3,4
also linear model,information giving,1,3
realli converg without scale,information giving,1,4
think need benchmark possibl,information seeking,3,4
pretti bad,problem discovery,5,2
sure run window,information seeking,3,3
inde known issu window happen number featur sampl larg guess issu face,problem discovery,5,12
want add pot converg warn also specif behav differ,information seeking,3,9
assum base find seem,information giving,1,4
test maco catalina linux fedora,information giving,1,5
featur wild differ scale other fit optim hyperplan reason toler get difficult,information giving,1,12
liblinear sever solver,information giving,1,3
think use tron trust region newton default,information giving,1,7
also chang default away liblinear,information giving,1,5
refer logisticregress,information giving,1,2
mistaken thought svc,information giving,1,3
thank,others,7,1
observ bit stabl lbfgs set tri see precondit issu,information giving,1,9
tri remov issu around releas mileston,information giving,1,6
one seem press realli care,information giving,1,5
leav mileston realli better follow,information giving,1,5
rvm bayesian framework obtain spars solut regress classif task,information giving,1,9
use model ident form svm support vector machin,information giving,1,8
solv follow disadvantag svm number basi function svm grow linear size train set rvm start basi increment updat set basi function converg,information giving,1,22
read general think rvms would good addit,aspect evaluation,2,7
dlib boost licens compat,information giving,1,4
might easi wrap code style though,information giving,1,6
problem optim use smo,information seeking,3,4
sensibl implement smo,information seeking,3,3
